,Country Name,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP
72,Fragile and conflict affected situations,1726910000000.0,1550710000000.0,1569590000000.0,1698250000000.0,1778460000000.0
73,Finland,234440000000.0,240608000000.0,255232000000.0,275947000000.0,269296000000.0
74,Fiji,4682546881.0,4930204220.0,5353404419.0,5581393121.0,5496250694.0
75,France,2438210000000.0,2471290000000.0,2595150000000.0,2787860000000.0,2715520000000.0
76,Faroe Islands,2518096286.0,2738832687.0,2905102304.0,3116887847.0,
77,"Micronesia, Fed. Sts.",316489900.0,332265200.0,366666800.0,401932300.0,
78,Gabon,14383107714.0,14023890620.0,14929488771.0,16862282414.0,16874450215.0
79,United Kingdom,2928590000000.0,2694280000000.0,2666230000000.0,2860670000000.0,2829110000000.0
80,Georgia,14953950557.0,15141758567.0,16242916916.0,17599700091.0,17477255546.0
81,Ghana,48564863888.0,55009730600.0,58998132330.0,65556464048.0,66983634224.0
82,Gibraltar,,,,,
83,Guinea,8794202444.0,8595955581.0,10324668267.0,10907214994.0,12296665331.0
84,"Gambia, The",1378176868.0,1484579844.0,1504909753.0,1670670669.0,1826073740.0
85,Guinea-Bissau,1048229629.0,1179004941.0,1350177128.0,1458868242.0,1339449165.0
86,Equatorial Guinea,13185496836.0,11240809132.0,12200914930.0,13278488567.0,11026774945.0
87,Greece,196591000000.0,195222000000.0,203588000000.0,218138000000.0,209853000000.0
88,Grenada,997007925.9,1061631222.0,1125685185.0,1168696296.0,1210603704.0
89,Greenland,2499115623.0,2707146783.0,2826651926.0,3051626390.0,
90,Guatemala,62186186576.0,66053725049.0,71612352645.0,73118147941.0,76710355347.0
91,Guam,5710000000.0,5795000000.0,5851000000.0,5920000000.0,
92,Guyana,4279840362.0,4482697337.0,4748174334.0,4787635821.0,5173759528.0
93,High income,48169300000000.0,49181200000000.0,51468300000000.0,54656900000000.0,55140600000000.0
94,"Hong Kong SAR, China",309384000000.0,320838000000.0,341244000000.0,361697000000.0,365712000000.0
95,Honduras,20979767785.0,21717622071.0,23136232230.0,24024189736.0,25095395475.0
96,Heavily indebted poor countries (HIPC),676806000000.0,669729000000.0,713187000000.0,759124000000.0,783062000000.0
97,Croatia,49525747504.0,51601147666.0,55481644098.0,61375222347.0,60752588976.0
98,Haiti,14857386164.0,13723267961.0,14213814583.0,15965670198.0,14332163266.0
99,Hungary,125074000000.0,128471000000.0,142962000000.0,160419000000.0,163469000000.0
100,IBRD only,25950100000000.0,26153400000000.0,28864200000000.0,30807700000000.0,31604100000000.0
101,IDA & IBRD total,28039800000000.0,28183000000000.0,30964900000000.0,33032300000000.0,33917200000000.0
102,IDA total,2102310000000.0,2039740000000.0,2107390000000.0,2231100000000.0,2320310000000.0
103,IDA blend,999758000000.0,931081000000.0,922589000000.0,964268000000.0,991548000000.0
104,Indonesia,860854000000.0,931877000000.0,1015620000000.0,1042240000000.0,1119190000000.0
105,IDA only,1095340000000.0,1105540000000.0,1185500000000.0,1268820000000.0,1331970000000.0
106,Isle of Man,7085288006.0,6846691871.0,6979581725.0,7491969313.0,
107,India,2103590000000.0,2294800000000.0,2652750000000.0,2713170000000.0,2868930000000.0
108,Not classified,,,,,
109,Ireland,291500000000.0,300523000000.0,335663000000.0,382674000000.0,388699000000.0
110,"Iran, Islamic Rep.",384951000000.0,417984000000.0,445345000000.0,453996000000.0,
111,Iraq,177499000000.0,174896000000.0,195473000000.0,224228000000.0,234094000000.0
112,Iceland,17389101639.0,20618363252.0,24488176541.0,25737594324.0,24188038474.0
113,Israel,299813000000.0,318951000000.0,353253000000.0,370588000000.0,394652000000.0
114,Italy,1835900000000.0,1875800000000.0,1961800000000.0,2091540000000.0,2003580000000.0
115,Jamaica,14187696311.0,14075894320.0,14806340821.0,15713908816.0,16458071068.0
116,Jordan,38587017944.0,39892551149.0,41408960787.0,42932112676.0,44502895862.0
117,Japan,4389480000000.0,4922540000000.0,4866860000000.0,4954810000000.0,5081770000000.0
118,Kazakhstan,184388000000.0,137278000000.0,166806000000.0,179340000000.0,181666000000.0
119,Kenya,64007750169.0,69188755364.0,78965004656.0,87778582964.0,95503088538.0
120,Kyrgyz Republic,6678178340.0,6813092066.0,7702934800.0,8271108638.0,8454619608.0
121,Cambodia,18049954289.0,20016747754.0,22177200512.0,24571753583.0,27089389787.0
122,Kiribati,171117872.4,178328873.0,187276210.9,196737896.0,194647201.9
123,St. Kitts and Nevis,923155555.6,971166666.7,996944444.4,1010822222.0,1053244444.0
124,"Korea, Rep.",1465770000000.0,1500110000000.0,1623900000000.0,1724850000000.0,1646740000000.0
125,Kuwait,114567000000.0,109420000000.0,120707000000.0,140645000000.0,134629000000.0
126,Latin America & Caribbean (excluding high income),5006910000000.0,4865730000000.0,5425410000000.0,5226070000000.0,5149600000000.0
127,Lao PDR,14390442307.0,15805692546.0,16853087485.0,17953786416.0,18173839147.0
128,Lebanon,49939374833.0,51205122504.0,53140638269.0,54961275742.0,51991634492.0
129,Liberia,3177000000.0,3277826000.0,3285455000.0,3264000000.0,3070518100.0
130,Libya,27842131480.0,26197143268.0,37883243650.0,52607888718.0,52091152228.0
131,St. Lucia,1808079889.0,1865375222.0,1999090407.0,2065875074.0,2122450630.0
132,Latin America & Caribbean,5529110000000.0,5398480000000.0,5995430000000.0,5823560000000.0,5733770000000.0
133,Least developed countries: UN classification,966459000000.0,950658000000.0,1033420000000.0,1073440000000.0,1115240000000.0
134,Low income,533735000000.0,488937000000.0,503284000000.0,518429000000.0,541512000000.0
135,Liechtenstein,6268391521.0,6237264055.0,6552858739.0,6876981286.0,
136,Sri Lanka,80604080689.0,82401038710.0,87428125558.0,88425889592.0,84008783756.0
137,Lower middle income,5182270000000.0,5360980000000.0,5768760000000.0,6007310000000.0,6334930000000.0
138,Low & middle income,27066500000000.0,27200400000000.0,29869800000000.0,31818000000000.0,32709100000000.0
139,Lesotho,2372280103.0,2165408359.0,2405289384.0,2575892262.0,2376328637.0
140,Late-demographic dividend,18471400000000.0,18516600000000.0,20547400000000.0,22508800000000.0,22983500000000.0
141,Lithuania,41418872976.0,43018087238.0,47758736932.0,53722883091.0,54627411860.0
142,Luxembourg,57744457955.0,60691483443.0,64181944723.0,70919958016.0,71104919108.0
143,Latvia,27239653844.0,28052325862.0,30458763246.0,34416012859.0,34102913582.0
144,"Macao SAR, China",45361678147.0,45387299721.0,50751059058.0,55084050790.0,53859116536.0
145,St. Martin (French part),,,,,
146,Morocco,101180000000.0,103312000000.0,109683000000.0,118096000000.0,119700000000.0
147,Monaco,6261622101.0,6472990923.0,6431314957.0,7188238073.0,
