,Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment
30,Bhutan,727876,736709,745568,754394,763092,66.87801219,67.41476949,67.85570099,68.22563455,68.56683074,2.450000048,2.415999889,2.35800004,2.302999973,2.342000008,3.244999886,3.226999998,3.157999992,3.071000099,3.200000048,1.896000028,1.851999998,1.802999973,1.771999955,1.751999974
26,Bolivia,10869730,11031813,11192854,11353142,11513100,60.83890768,61.11593252,61.41950378,61.73450486,62.0361067,3.065999985,3.525000095,3.670000076,3.53399992,3.497999907,3.796999931,4.074999809,4.071000099,3.628999949,3.809000015,2.563999891,3.125,3.368999958,3.457999945,3.250999928
22,Bosnia and Herzegovina,3429361,3386267,3351527,3323929,3301000,70.27787392,70.000378,69.45453189,68.76346488,68.10508937,27.69400024,25.40800095,20.52700043,18.39999962,18.42499924,30.65399933,29.97699928,23.09900093,20.29400063,21.00200081,25.74799919,22.47699928,18.8390007,17.17900085,16.76199913
31,Botswana,2120716,2159944,2205128,2254126,2303697,61.24681476,61.32850786,61.47432293,61.66317964,61.86911734,17.74699974,17.6590004,17.50499916,17.35300064,18.19300079,20.84399986,20.90500069,20.64900017,20.52099991,21.22200012,14.81000042,14.57199955,14.51000023,14.33199978,15.31799984
27,Brazil,204471769,206163058,207833831,209469333,211049527,69.56613409,69.64878959,69.7106712,69.74309026,69.73919823,8.427000046,11.60000038,12.82199955,12.33399963,12.08300018,10.05500031,13.45800018,14.71800041,14.22999954,14.13899994,7.212999821,10.20600033,11.36999989,10.86900043,10.49499989
253,British Virgin Islands,29152,29355,29577,29802,30030,,,,,,,,,,,,,,,,,,,,
29,Brunei Darussalam,414907,419800,424473,428962,433285,71.8373033,71.8158647,71.93625979,72.10039094,72.17466564,7.914000034,8.711000443,9.315999985,8.862000465,9.116999626,8.798000336,9.489999771,9.984999657,9.642000198,9.906999588,7.269999981,8.137999535,8.819000244,8.279999733,8.524000168
19,Bulgaria,7177991,7127822,7075947,7025037,6975761,65.70743309,65.2542739,64.79766683,64.38262025,64.06165381,9.142999649,7.574999809,6.164000034,5.210999966,4.340000153,8.416000366,6.967999935,5.946000099,4.652999878,3.969000101,9.776000023,8.097999573,6.354000092,5.690000057,4.657000065
17,Burkina Faso,18110624,18646378,19193284,19751535,20321378,52.01818557,52.20262596,52.4098388,52.64493785,52.91489091,6.418000221,6.343999863,6.21600008,6.093999863,6.263999939,9.387999535,9.319999695,9.130000114,8.949999809,9.222999573,4.018000126,3.940000057,3.861999989,3.785000086,3.880000114
14,Burundi,10160030,10487998,10827024,11175378,11530580,52.38346737,52.30296162,52.25774518,52.25137879,52.28725702,1.552000046,1.527999997,1.486999989,1.447999954,1.427000046,1.126000047,1.123000026,1.072999954,1.032999992,1.008999944,2.015000105,1.967000008,1.934000015,1.896000028,1.878000021
45,Cabo Verde,524743,531146,537497,543767,549935,65.54884963,65.92895362,66.28433966,66.6129059,66.89517852,11.9090004,12.10599995,12.23999977,12.17000008,12.2489996,12.36299992,12.66899967,12.76900005,11.54800034,11.49100018,11.5710001,11.67700005,11.82800007,12.65799999,12.84700012
121,Cambodia,15521436,15766293,16009414,16249798,16486542,64.2786402,64.35303875,64.31673399,64.22990522,64.18303487,0.393000007,0.716000021,0.683000028,0.65200001,0.676999986,0.456999987,0.851000011,0.813000023,0.779999971,0.824000001,0.333999991,0.588999987,0.560000002,0.532000005,0.540000021
40,Cameroon,23298368,23926539,24566045,25216237,25876380,54.0539964,54.204904,54.40127529,54.6395428,54.91421907,3.506000042,3.471999884,3.414000034,3.357000113,3.380000114,4.006000042,3.960999966,3.884000063,3.84100008,3.871999979,3.062999964,3.039999962,2.996000051,2.926000118,2.944000006
33,Canada,35702908,36109487,36543321,37057765,37589262,67.95488432,67.64695567,67.28747162,66.89774245,66.50620337,6.906000137,6.999000072,6.340000153,5.830999851,5.56400013,6.284999847,6.237999916,5.848999977,5.492000103,5.263000011,7.459000111,7.677999973,6.78000021,6.136000156,5.835999966
47,Caribbean small states,7222206,7269385,7314986,7358958,7401383,67.20263455,67.31139105,67.41276458,67.49041787,67.52627383,10.56397744,10.48343737,9.553454677,8.372812195,8.011520389,13.51767996,13.41797021,12.19751391,10.41744968,10.12770787,8.308218417,8.200329926,7.484576021,6.775345344,6.352641306
50,Cayman Islands,61724,62569,63382,64174,64948,,,,,,,,,,,,,,,,,,,,
32,Central African Republic,4493170,4537687,4596028,4666377,4745185,51.96418119,52.21238314,52.52216971,52.87990574,53.26519409,3.864000082,3.819000006,3.74000001,3.664000034,3.680000067,3.769000053,3.707999945,3.624000072,3.552000046,3.565000057,3.944000006,3.911000013,3.836999893,3.757999897,3.776000023
34,Central Europe and the Baltics,103257886,102994278,102738653,102537026,102378579,68.09632796,67.62510887,67.04008638,66.40392481,65.81012339,7.814781162,6.487662204,5.293337874,4.312452102,3.870378192,7.905672237,6.440905078,5.258638474,4.292581396,3.926423791,7.740204731,6.525926282,5.322124119,4.329074885,3.824400703
227,Chad,14110975,14561666,15016773,15477751,15946876,49.71862681,49.90749681,50.13270845,50.39318107,50.68741364,1.832999945,1.855999947,1.84800005,1.838000059,1.891000032,1.56099999,1.582000017,1.625,1.64199996,1.70599997,2.058000088,2.084000111,2.032999992,2.003000021,2.046000004
36,Channel Islands,165385,166923,168665,170499,172259,68.03337667,67.83666721,67.67497703,67.51417897,67.33116992,8.083999634,7.857999802,7.622000217,7.409999847,7.486999989,8.326000214,8.109999657,7.883999825,7.681000233,7.695000172,7.894999981,7.657999992,7.414000034,7.193999767,7.321000099
37,Chile,17969353,18209068,18470439,18729160,18952038,68.83656301,68.82224834,68.78390925,68.71629587,68.62418701,6.507999897,6.737999916,6.958000183,7.232999802,7.090000153,7.137000084,7.261000156,7.454999924,7.979000092,7.702000141,6.06400013,6.366000175,6.599999905,6.688000202,6.642000198
