Series Name,Country Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",Ghana,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Gibraltar,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Greece,20.20131,20.26908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Greenland,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Grenada,..,..,8.17698,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guam,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guatemala,10.06501,11.08353,11.36856,11.88315,..
"Government expenditure per student, primary (% of GDP per capita)",Guinea,..,6.81269,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guinea-Bissau,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Guyana,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Haiti,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Honduras,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Hong Kong SAR, China",14.85107,15.024,14.94539,14.82783,..
"Government expenditure per student, primary (% of GDP per capita)",Hungary,18.67208,19.06479,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Iceland,22.79978,22.10298,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",India,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Indonesia,13.28127,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Iran, Islamic Rep.",7.55314,9.52057,11.11757,..,..
"Government expenditure per student, primary (% of GDP per capita)",Iraq,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Ireland,11.83086,11.84396,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Isle of Man,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Israel,21.34266,21.53058,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Italy,21.73441,19.52238,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Jamaica,22.17824,21.77293,23.44592,21.68464,..
"Government expenditure per student, primary (% of GDP per capita)",Japan,..,21.78104,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Jordan,..,14.87272,13.53875,13.30793,..
"Government expenditure per student, primary (% of GDP per capita)",Kazakhstan,..,..,0.26455,0.23507,..
"Government expenditure per student, primary (% of GDP per capita)",Kenya,10.95105,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Kiribati,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Korea, Dem. People’s Rep.",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Korea, Rep.",..,27.84732,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Kosovo,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Kuwait,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Kyrgyz Republic,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Lao PDR,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Latvia,26.76693,24.50426,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Lebanon,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Lesotho,..,..,..,20.7122,..
"Government expenditure per student, primary (% of GDP per capita)",Liberia,3.94327,14.49935,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Libya,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Liechtenstein,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Lithuania,18.59952,19.49595,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Luxembourg,19.6895,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Macao SAR, China",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Madagascar,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Malawi,9.55053,8.15872,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Malaysia,16.07894,16.12796,16.13708,..,..
"Government expenditure per student, primary (% of GDP per capita)",Maldives,18.69794,16.07814,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Mali,13.43451,9.34227,12.3362,..,..
"Government expenditure per student, primary (% of GDP per capita)",Malta,22.83451,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Marshall Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Mauritania,9.59914,10.18348,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Mauritius,12.51795,14.08182,15.73389,15.56837,..
"Government expenditure per student, primary (% of GDP per capita)",Mexico,14.4207,13.78185,..,..,..
"Government expenditure per student, primary (% of GDP per capita)","Micronesia, Fed. Sts.",..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Moldova,34.82502,32.54519,32.53601,32.53494,..
"Government expenditure per student, primary (% of GDP per capita)",Monaco,..,3.31307,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Mongolia,13.1827,16.58952,14.10634,..,..
"Government expenditure per student, primary (% of GDP per capita)",Montenegro,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Morocco,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Mozambique,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Myanmar,..,..,7.66681,7.81464,..
"Government expenditure per student, primary (% of GDP per capita)",Namibia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Nauru,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Nepal,12.35956,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Netherlands,16.84558,16.66924,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",New Caledonia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",New Zealand,18.34146,20.32099,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Nicaragua,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Niger,22.53418,16.47221,13.30223,..,..
"Government expenditure per student, primary (% of GDP per capita)",Nigeria,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",North Macedonia,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Northern Mariana Islands,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Norway,21.50107,21.70425,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Oman,..,31.77481,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Pakistan,8.09756,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Palau,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Panama,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Papua New Guinea,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",Paraguay,..,11.67423,..,..,..
