Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Cote d'Ivoire,CIV,124.84419,138.96225,150.17056,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Croatia,HRV,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Cuba,CUB,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Curacao,CUW,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Cyprus,CYP,29.2699,26.51745,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Czech Republic,CZE,20.98863,20.34101,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Denmark,DNK,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Djibouti,DJI,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Dominica,DMA,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Dominican Republic,DOM,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Ecuador,ECU,52.67572,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,El Salvador,SLV,10.84972,10.8018,12.01038,11.12942,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Equatorial Guinea,GNQ,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Eritrea,ERI,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Estonia,EST,33.95498,36.92339,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Eswatini,SWZ,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Ethiopia,ETH,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Faroe Islands,FRO,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Fiji,FJI,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Finland,FIN,34.49292,33.93205,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,France,FRA,32.96949,31.62493,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,French Polynesia,PYF,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Gabon,GAB,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,"Gambia, The",GMB,..,..,..,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Georgia,GEO,..,11.44,10.02091,..,..
"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,Germany,DEU,33.95677,33.58129,..,..,..
