Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary",2015 Total Literacy,2016 Total Literacy,2017 Total Literacy,2018 Total Literacy,2019 Total Literacy,2015 Male Literacy,2016 Male Literacy,2017 Male Literacy,2018 Male Literacy,2019 Male Literacy,2015 Female Literacy,2016 Female Literacy,2017 Female Literacy,2018 Female Literacy,2019 Female Literacy,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Belgium,11274196,11331422,11375158,11427054,11484055,64.85353395,64.61143766,64.37944165,64.1558335,63.93523089,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225,7.768000126,7.559999943,7.053999901,5.561999798,5.136000156,9.092000008,8.059000015,7.113999844,6.28000021,5.977000237,4.6215E+11,4.7574E+11,5.02698E+11,5.43734E+11,5.33097E+11,5000910,5005505,5037405,5089752,5101824,6.451570034,6.45953989,6.412280083,,,22.03343,21.87767,,,,,,,,,32.32961,32.207,,,,,,,,,,,,,,,,,,,6.937,6.929,6.890999794,6.927,6.923
Benin,10575952,10872067,11175204,11485048,11801151,53.73519093,53.89830798,54.0874712,54.29871231,54.52959631,2.582000017,2.536999941,2.459000111,2.385999918,2.232000113,2.776000023,2.747999907,2.664000034,2.566999912,2.335999966,2.394999981,2.332999945,2.260999918,2.210999966,2.131999969,11388160958,11821066153,12701656931,14250985959,14390709095,4264772,4397957,4535767,4678297,4833491,3.17298007,2.899100065,3.535589933,2.933969975,,10.25321,,,,,11.34655,,,,,77.72193,,,,,,,,42.36240005,,,,,53.97703171,,,,,31.07164955,,3.34,3.484,3.657000065,4.141,4.883
Burkina Faso,18110624,18646378,19193284,19751535,20321378,52.01818557,52.20262596,52.4098388,52.64493785,52.91489091,6.418000221,6.343999863,6.21600008,6.093999863,6.263999939,9.387999535,9.319999695,9.130000114,8.949999809,9.222999573,4.018000126,3.940000057,3.861999989,3.785000086,3.880000114,11832159276,12833363370,14106956830,16059910871,15990803570,6572285,6787426,7009083,7238229,7468213,3.67008996,,5.603469849,5.383790016,,16.13029,,,,,17.26223,19.92959,,,,123.2152,351.47005,,,,,,,41.22444916,,,,,50.07458878,,,,,32.68761826,,3.587,3.739,4.032000065,4.424,4.587
Bangladesh,156256276,157970840,159670593,161356039,163046161,65.61857714,66.11132307,66.625937,67.13558688,67.60528327,4.377999783,4.349999905,4.372000217,4.281000137,4.190000057,7.467000008,7.379000187,6.744999886,6.623000145,6.203999996,3.161000013,3.128000021,3.346999884,3.25999999,3.305999994,1.95079E+11,2.21415E+11,2.49711E+11,2.74039E+11,3.02571E+11,62595846,63698450,67454903,68791250,70009461,,1.535539985,,,1.326320052,,,,,,,9.88363,,,,,29.90388,,,,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,68.05535889,75.61885071,75.70236206,76.66925812,77.44149017,62.25299072,69.89720917,70.08570099,71.18193817,71.94838715,4.694,4.643,4.607999802,4.5,4.456
Bulgaria,7177991,7127822,7075947,7025037,6975761,65.70743309,65.2542739,64.79766683,64.38262025,64.06165381,9.142999649,7.574999809,6.164000034,5.210999966,4.340000153,8.416000366,6.967999935,5.946000099,4.652999878,3.969000101,9.776000023,8.097999573,6.354000092,5.690000057,4.657000065,50647442757,53806894796,58971520599,66230155100,68558815112,3333802,3264392,3357160,3327614,3295081,,,4.09250021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.218,4.217,4.714000225,4.933,5.011
Bahrain,1371851,1425791,1494074,1569439,1641172,76.82605472,77.26758181,77.78620365,78.319356,78.76249412,1.129999995,0.91900003,0.700999975,0.649999976,0.713999987,3.744999886,3.279999971,2.792000055,2.655999899,2.963000059,0.404000014,0.275999993,0.148000002,0.133000001,0.150000006,31050638298,32234973404,35473776596,37652500000,38574069149,777895,817831,869405,926959,978624,2.668080091,,2.327810049,,,11.16362,,,,,17.50832,,,,,,,,,,,97.06668091,97.40389252,97.46418762,,,98.55191803,98.76732635,98.76316833,,,94.28151703,94.70736694,94.94888306,,5.96,6.218,6.086999893,6.105,6.199
Bosnia and Herzegovina,3429361,3386267,3351527,3323929,3301000,70.27787392,70.000378,69.45453189,68.76346488,68.10508937,27.69400024,25.40800095,20.52700043,18.39999962,18.42499924,30.65399933,29.97699928,23.09900093,20.29400063,21.00200081,25.74799919,22.47699928,18.8390007,17.17900085,16.76199913,16211541820,16913330694,18080118128,20183510561,20164193807,1363985,1347240,1328960,1319691,1306464,,,,,,,,,,,,43.51293,,,,,23.73047,,,,,,,,,,,,,,,,,,,4.949,5.163,5.18200016,5.129,5.386
Belarus,9489616,9501534,9498264,9483499,9466856,69.41362835,69.07010989,68.71698692,68.28890878,67.7628385,5.914000034,5.840000153,5.650000095,4.760000229,4.59499979,4.262000084,4.18599987,4.039000034,3.553999901,3.349999905,7.544000149,7.47300005,7.228000164,5.920000076,5.789999962,56454734397,47722657821,54726595249,60031262269,63080457023,5106430,5106665,5097017,5087320,5036882,4.787519932,4.946549892,4.794990063,,,,,,,,,,35.66614,,,15.95206,17.04407,17.92244,,,,,,99.75656128,,,,,99.79398346,,,,,99.72518158,,5.813,5.802,5.568999767,5.483,5.323
Bolivia,10869730,11031813,11192854,11353142,11513100,60.83890768,61.11593252,61.41950378,61.73450486,62.0361067,3.065999985,3.525000095,3.670000076,3.53399992,3.497999907,3.796999931,4.074999809,4.071000099,3.628999949,3.809000015,2.563999891,3.125,3.368999958,3.457999945,3.250999928,33000198248,33941126200,37508642165,40287647930,40895322844,4925990,5080592,5293299,5631725,5735836,,,,,,,,,,,,,,,,,,,,,92.45507813,,,,,96.52275085,,,,,88.58286285,,,,,5.89,5.822,5.822999954,5.752,5.779
Brazil,204471769,206163058,207833831,209469333,211049527,69.56613409,69.64878959,69.7106712,69.74309026,69.73919823,8.427000046,11.60000038,12.82199955,12.33399963,12.08300018,10.05500031,13.45800018,14.71800041,14.22999954,14.13899994,7.212999821,10.20600033,11.36999989,10.86900043,10.49499989,1.80221E+12,1.7957E+12,2.06283E+12,1.88548E+12,1.83976E+12,101600929,102508951,104260712,105542232,106500838,6.24105978,6.314040184,6.32254982,,,20.05496,,,,,21.52655,,,,,33.04323,,,,,92.04789734,92.80844116,93.07582092,93.22750092,,91.72515869,92.57515717,92.8915329,93.00904083,,92.34378815,93.02120209,93.24371338,93.42507172,,6.983,6.952,6.635000229,6.419,6.3
Bhutan,727876,736709,745568,754394,763092,66.87801219,67.41476949,67.85570099,68.22563455,68.56683074,2.450000048,2.415999889,2.35800004,2.302999973,2.342000008,3.244999886,3.226999998,3.157999992,3.071000099,3.200000048,1.896000028,1.851999998,1.802999973,1.771999955,1.751999974,2003598213,2158972129,2450364928,2446866405,2530547158,348432,356732,364557,371964,380085,7.590099812,6.993330002,7.225739956,6.850840092,,,,,,,29.42942,,,,,,,,,,,,66.5611496,,,,,75.01985168,,,,,57.08361816,,,5.253,5.196,5.011000156,5.082,5.082
Botswana,2120716,2159944,2205128,2254126,2303697,61.24681476,61.32850786,61.47432293,61.66317964,61.86911734,17.74699974,17.6590004,17.50499916,17.35300064,18.19300079,20.84399986,20.90500069,20.64900017,20.52099991,21.22200012,14.81000042,14.57199955,14.51000023,14.33199978,15.31799984,14420593484,15646354089,17405588070,18663265549,18340480936,978489,999036,1023359,1049545,1080610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.332,3.974,3.766000032,3.59,3.488
Central African Republic,4493170,4537687,4596028,4666377,4745185,51.96418119,52.21238314,52.52216971,52.87990574,53.26519409,3.864000082,3.819000006,3.74000001,3.664000034,3.680000067,3.769000053,3.707999945,3.624000072,3.552000046,3.565000057,3.944000006,3.911000013,3.836999893,3.757999897,3.776000023,1695825708,1825018191,2072350151,2220978978,2220307369,1791677,1811923,1838756,1871101,1914794,,,,,,,,,,,,,,,,,,,,,,,,37.39582062,,,,,49.51459122,,,,,25.75638008,,3.678,,2.693000078,3.083,3.083
Canada,35702908,36109487,36543321,37057765,37589262,67.95488432,67.64695567,67.28747162,66.89774245,66.50620337,6.906000137,6.999000072,6.340000153,5.830999851,5.56400013,6.284999847,6.237999916,5.848999977,5.492000103,5.263000011,7.459000111,7.677999973,6.78000021,6.136000156,5.835999966,1.55613E+12,1.52824E+12,1.64988E+12,1.71626E+12,1.73643E+12,19679325,19887912,20164604,20344918,20583847,,,,,,17.56737,,,,,,,,,,36.93396,31.44008,,,,,,,,,,,,,,,,,,,7.427,7.404,7.315999985,7.328,7.278
Switzerland,8282396,8373338,8451840,8514329,8574832,67.20934339,66.93853889,66.69663819,66.46582867,66.22132804,4.801000118,4.918000221,4.796999931,4.712999821,4.580999851,4.912000179,5.006000042,5.058000088,5.109000206,4.768000126,4.703999996,4.84100008,4.570000172,4.367000103,4.416999817,6.79832E+11,6.71309E+11,6.7995E+11,7.05141E+11,7.03082E+11,4813826,4889830,4919831,4953967,4978166,5.100570202,5.104730129,5.130189896,,,24.56797,24.78876,,,,24.45516,,,,,37.67913,37.4052,,,,,,,,,,,,,,,,,,,7.587,7.509,7.493999958,7.487,7.48
Chile,17969353,18209068,18470439,18729160,18952038,68.83656301,68.82224834,68.78390925,68.71629587,68.62418701,6.507999897,6.737999916,6.958000183,7.232999802,7.090000153,7.137000084,7.261000156,7.454999924,7.979000092,7.702000141,6.06400013,6.366000175,6.599999905,6.688000202,6.642000198,2.43919E+11,2.5044E+11,2.77045E+11,2.98258E+11,2.82318E+11,8861615,9001237,9208644,9391133,9557893,4.875309944,5.342010021,5.41945982,,,15.18748,18.29521,18.38536,,,16.63683,18.48666,18.68243,,,18.41495,19.98293,20.25927,,,96.87413025,,96.40228271,,,97.02468872,,96.48062897,,,96.74395752,,96.33402252,,,6.67,6.705,6.65199995,6.476,6.444
China,1371220000,1378665000,1386395000,1392730000,1397715000,72.61433377,72.20275277,71.71751844,71.20211371,70.72329863,4.629000187,4.534999847,4.440999985,4.276000023,4.320000172,4.012000084,3.928999901,3.846999884,3.703000069,3.726999998,5.114999771,5.010000229,4.90500021,4.722000122,4.78000021,1.10616E+13,1.12333E+13,1.23104E+13,1.38948E+13,1.43429E+13,784597090,784950069,784839482,783424134,781074570,,,,,,,,,,,,,,,,,,,,,,,,96.84088898,,,,,98.46653748,,,,,95.15933228,,5.14,5.245,5.272999763,5.246,5.191
Cameroon,23298368,23926539,24566045,25216237,25876380,54.0539964,54.204904,54.40127529,54.6395428,54.91421907,3.506000042,3.471999884,3.414000034,3.357000113,3.380000114,4.006000042,3.960999966,3.884000063,3.84100008,3.871999979,3.062999964,3.039999962,2.996000051,2.926000118,2.944000006,30928653814,32643697596,35009262788,38694156863,39007354359,10091929,10392255,10703273,11023646,11345979,2.768049955,2.654230118,3.154819965,3.131200075,,,,,,,,,,,,,,,,,,,,77.07103729,,,,,82.6280365,,,,,71.58627319,,4.252,4.513,4.695000172,4.975,5.044
Colombia,47520667,48175048,48909844,49661056,50339443,67.77563749,68.0179463,68.24399892,68.444057,68.61338533,8.298999786,8.692000389,8.871999741,9.111000061,9.706999779,10.84000015,11.20400047,11.51299953,11.79399967,12.7130003,6.361999989,6.78000021,6.866000175,7.092000008,7.445000172,2.93482E+11,2.82825E+11,3.11884E+11,3.33569E+11,3.23616E+11,25054953,25431103,25864779,26235604,26787864,4.470389843,4.477210045,4.535510063,4.457489967,,17.41694,17.44523,17.84725,16.98989,,15.68956,15.63588,17.26919,17.64699,,19.8043,20.69567,20.39852,21.64385,,94.24504852,94.65384674,,95.09250641,,94.06317139,94.40228271,,94.85182953,,94.41581726,94.89022064,,95.31891632,,6.477,6.481,6.356999874,6.26,6.125
Comoros,777424,795592,813892,832322,850886,56.96479656,57.09911613,57.26460022,57.45456686,57.65872279,4.493000031,4.449999809,4.375,4.302000046,4.335999966,4.860000134,4.837999821,4.748000145,4.665999889,4.702000141,4.230999947,4.171999931,4.105999947,4.038000107,4.070000172,966029542,1012835518,1077439663,1178530758,1165839927,199105,204984,211006,217181,223593,2.545059919,,,,,,,,,,,,,,,,,,,,,,,58.81702042,,,,,64.64420319,,,,,52.95639038,,3.956,3.956,,,3.973
Costa Rica,4847804,4899345,4949954,4999441,5047561,69.16721468,69.18392152,69.17211756,69.12540822,69.04092888,8.998999596,8.597999573,8.142000198,9.631999969,11.85400009,11.15299988,10.83899975,10.29300022,12.19200039,14.84599972,7.603000164,7.22300005,6.818999767,8.003000259,9.93900013,54775994479,57157992434,58481858043,60553901420,61801385049,2338013,2272972,2336778,2445858,2473778,7.082540035,7.097680092,7.315720081,6.978569984,7.048759937,26.71543,24.86943,22.2852,20.82721,,25.12593,24.03879,24.67935,21.14089,,35.07591,36.69091,38.63966,37.51487,,,,,97.86379242,,,,,97.80235291,,,,,97.92443085,,7.226,7.087,7.078999996,7.072,7.167
Cyprus,1160985,1170187,1179680,1189265,1198575,70.27145054,70.0034268,69.74801598,69.49309027,69.24464468,14.90799999,12.94999981,11.05200005,8.369999886,7.274000168,14.76599979,13.33300018,11.26900005,8.755000114,8.121999741,15.03199959,12.62100029,10.86499977,8.041000366,6.547999859,19842404305,20953442550,22729184365,25309818139,24948935408,604302,603072,611083,625713,629536,6.346360207,6.163799763,5.777190208,,,32.18788,31.88086,,,,39.39051,39.29112,,,,29.2699,26.51745,,,,,,,,,,,,,,,,,,,5.689,5.546,5.620999813,5.762,6.046
Czech Republic,10546059,10566332,10594438,10629928,10669709,66.89083524,66.27224569,65.61791833,64.99251759,64.47630503,5.046000004,3.950999975,2.890000105,2.243000031,1.932999969,6.073999882,4.670000076,3.578999996,2.802999973,2.384000063,4.231999874,3.378000021,2.336999893,1.791000009,1.567000031,1.88033E+11,1.96272E+11,2.18629E+11,2.48909E+11,2.50681E+11,5337426,5388569,5419544,5453301,5445535,5.788849831,5.587379932,3.854020119,,,14.94718,13.8679,,,,23.6677,22.30415,,,,20.98863,20.34101,,,,,99.8330307,,,,,99.7958374,,,,,99.86843109,,,,6.505,6.596,6.609000206,6.711,6.852
Germany,81686611,82348669,82657002,82905782,83132799,65.56447055,65.39599085,65.17782359,64.9170079,64.6375192,4.624000072,4.122000217,3.746000051,3.384000063,3.042999983,4.21999979,3.740999937,3.315000057,2.910000086,2.694000006,4.97300005,4.451000214,4.118000031,3.792000055,3.342999935,3.35624E+12,3.4675E+12,3.6826E+12,3.96377E+12,3.86112E+12,42592924,43055076,43289005,43560137,43577709,4.834980011,4.840219975,4.905119896,,,17.50845,17.44257,,,,23.00137,22.95939,,,,33.95677,33.58129,,,,,,,,,,,,,,,,,,,6.75,6.994,6.951000214,6.965,6.985
Djibouti,913993,929112,944097,958920,973560,65.12697581,65.27921284,65.56145065,65.89830466,66.1859567,10.58399963,10.51000023,10.38199997,10.25699997,10.29500008,10.83699989,10.72999954,10.50699997,10.35700035,10.40200043,10.41800022,10.36600018,10.30000019,10.18999958,10.22399998,2430287967,2603554907,2751461056,3012820410,3324634256,383775,391027,398751,406696,415214,3.590240002,3.924390078,3.748559952,3.627739906,,,37.32327,,,,1.03886,0.72783,,,,,,,,,,,,,,,,,,,,,,,,4.369,,,,
Denmark,5683483,5728010,5764980,5793636,5818553,64.10939592,63.98027856,63.84881462,63.7287848,63.63378215,6.168000221,6.181000233,5.743000031,4.974999905,4.913000107,6.443999767,6.638999939,5.93599987,5.149000168,5.193999767,5.922999859,5.768000126,5.568999767,4.81799984,4.65899992,3.02673E+11,3.13116E+11,3.32121E+11,3.56879E+11,3.50104E+11,2931334,3024663,2986512,3014756,3026441,,,7.816080093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.527,7.526,7.521999836,7.555,7.6
