Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemploment,2016 Total Unemploment,2017 Total Unemploment,2018 Total Unemploment,2019 Total Unemploment,2015 Female Unemploment,2016 Female Unemploment,2017 Female Unemploment,2018 Female Unemploment,2019 Female Unemploment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Belarus,9489616.0,9501534.0,9498264.0,9483499.0,9466856.0,69.41362835,69.07010989,68.71698692,68.28890878,67.7628385,5.914000034,5.840000152999999,5.650000095,4.760000229,4.59499979,4.262000083999999,4.18599987,4.039000034,3.553999901,3.349999905,7.5440001489999995,7.47300005,7.228000164,5.920000076,5.7899999620000004,56454734397.0,47722657821.0,54726595249.0,60031262269.0,63080457023.0,5106430.0,5106665.0,5097017.0,5087320.0,5036882.0,5.813,5.8020000000000005,5.568999767,5.483,5.3229999999999995
Belgium,11274196.0,11331422.0,11375158.0,11427054.0,11484055.0,64.85353395,64.61143766,64.37944165,64.1558335,63.93523089,8.482000351,7.829999924,7.085999966,5.947999954,5.589000225,7.7680001260000004,7.559999942999999,7.053999901,5.5619997979999996,5.136000156000001,9.092000008,8.059000015,7.113999843999999,6.28000021,5.977000237,462150000000.0,475740000000.0,502698000000.0,543734000000.0,533097000000.0,5000910.0,5005505.0,5037405.0,5089752.0,5101824.0,6.937,6.928999999999999,6.890999794,6.9270000000000005,6.922999999999999
Benin,10575952.0,10872067.0,11175204.0,11485048.0,11801151.0,53.73519093,53.89830798,54.0874712,54.29871231,54.52959631,2.582000017,2.536999941,2.459000111,2.385999918,2.2320001130000002,2.776000023,2.747999907,2.664000034,2.566999912,2.335999966,2.394999981,2.332999945,2.260999918,2.210999966,2.131999969,11388160958.0,11821066153.0,12701656931.0,14250985959.0,14390709095.0,4264772.0,4397957.0,4535767.0,4678297.0,4833491.0,3.34,3.484,3.657000065,4.141,4.883
Bhutan,727876.0,736709.0,745568.0,754394.0,763092.0,66.87801219,67.41476949,67.85570099,68.22563455,68.56683074,2.450000048,2.415999889,2.35800004,2.302999973,2.3420000080000003,3.2449998860000004,3.226999998,3.1579999919999997,3.071000099,3.200000048,1.8960000280000002,1.8519999980000001,1.8029999730000001,1.771999955,1.751999974,2003598213.0,2158972129.0,2450364928.0,2446866405.0,2530547158.0,348432.0,356732.0,364557.0,371964.0,380085.0,5.252999999999999,5.196000000000001,5.011000156000001,5.082,5.082
Bolivia,10869730.0,11031813.0,11192854.0,11353142.0,11513100.0,60.83890768,61.11593252,61.41950378,61.73450486,62.036106700000005,3.065999985,3.525000095,3.6700000760000004,3.53399992,3.497999907,3.796999931,4.0749998089999995,4.071000099,3.628999949,3.809000015,2.563999891,3.125,3.3689999580000003,3.457999945,3.250999928,33000198248.0,33941126200.0,37508642165.0,40287647930.0,40895322844.0,4925990.0,5080592.0,5293299.0,5631725.0,5735836.0,5.89,5.822,5.822999954,5.752000000000001,5.779
Bosnia and Herzegovina,3429361.0,3386267.0,3351527.0,3323929.0,3301000.0,70.27787392,70.000378,69.45453189,68.76346488,68.10508937,27.69400024,25.40800095,20.52700043,18.39999962,18.42499924,30.65399933,29.97699928,23.09900093,20.29400063,21.00200081,25.74799919,22.47699928,18.8390007,17.17900085,16.76199913,16211541820.0,16913330694.0,18080118128.0,20183510561.0,20164193807.0,1363985.0,1347240.0,1328960.0,1319691.0,1306464.0,4.949,5.162999999999999,5.18200016,5.129,5.386
Botswana,2120716.0,2159944.0,2205128.0,2254126.0,2303697.0,61.24681476,61.32850786,61.47432293,61.66317964,61.86911734,17.74699974,17.6590004,17.50499916,17.35300064,18.19300079,20.84399986,20.90500069,20.64900017,20.52099991,21.22200012,14.81000042,14.57199955,14.51000023,14.33199978,15.31799984,14420593484.0,15646354089.0,17405588070.0,18663265549.0,18340480936.0,978489.0,999036.0,1023359.0,1049545.0,1080610.0,4.332,3.9739999999999998,3.766000032,3.59,3.488
Brazil,204471769.0,206163058.0,207833831.0,209469333.0,211049527.0,69.56613409,69.64878959,69.71067120000001,69.74309026,69.73919823,8.427000046,11.60000038,12.82199955,12.33399963,12.08300018,10.05500031,13.45800018,14.71800041,14.22999954,14.13899994,7.212999821,10.20600033,11.36999989,10.86900043,10.49499989,1802210000000.0,1795700000000.0,2062830000000.0,1885480000000.0,1839760000000.0,101600929.0,102508951.0,104260712.0,105542232.0,106500838.0,6.983,6.952000000000001,6.635000229,6.419,6.3
Bulgaria,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,65.70743309,65.2542739,64.79766683,64.38262025,64.06165381,9.142999649,7.5749998089999995,6.164000034,5.210999966,4.340000153,8.416000366,6.967999935,5.946000099,4.652999878,3.9690001010000002,9.776000023,8.097999573,6.354000092000001,5.690000057000001,4.657000065,50647442757.0,53806894796.0,58971520599.0,66230155100.0,68558815112.0,3333802.0,3264392.0,3357160.0,3327614.0,3295081.0,4.218,4.217,4.714000225,4.933,5.011
Burkina Faso,18110624.0,18646378.0,19193284.0,19751535.0,20321378.0,52.01818557,52.20262596,52.409838799999996,52.64493785,52.91489091,6.418000221000001,6.343999863,6.21600008,6.093999863,6.263999939,9.387999535,9.319999695,9.130000114,8.949999809,9.222999573,4.0180001260000004,3.9400000569999998,3.8619999889999996,3.785000086,3.8800001139999996,11832159276.0,12833363370.0,14106956830.0,16059910871.0,15990803570.0,6572285.0,6787426.0,7009083.0,7238229.0,7468213.0,3.5869999999999997,3.739,4.032000065,4.4239999999999995,4.587
Burundi,10160030.0,10487998.0,10827024.0,11175378.0,11530580.0,52.38346737,52.30296162,52.25774518,52.25137879,52.28725702,1.5520000459999999,1.5279999969999998,1.486999989,1.4479999540000001,1.4270000459999999,1.126000047,1.123000026,1.0729999540000001,1.032999992,1.0089999440000001,2.015000105,1.967000008,1.934000015,1.8960000280000002,1.8780000209999999,3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0,4350268.0,4503184.0,4660778.0,4822373.0,4983237.0,2.905,2.905,2.904999971,2.905,3.775
Cambodia,15521436.0,15766293.0,16009414.0,16249798.0,16486542.0,64.2786402,64.35303875,64.31673399,64.22990522,64.18303487,0.39300000700000004,0.7160000209999999,0.6830000279999999,0.65200001,0.6769999859999999,0.45699998700000005,0.8510000109999999,0.813000023,0.779999971,0.8240000009999999,0.333999991,0.588999987,0.560000002,0.532000005,0.540000021,18049954289.0,20016747754.0,22177200512.0,24571753583.0,27089389787.0,8527881.0,8909071.0,9055041.0,9191221.0,9350230.0,3.819,3.907,4.168000221000001,4.433,4.7
Cameroon,23298368.0,23926539.0,24566045.0,25216237.0,25876380.0,54.0539964,54.204904000000006,54.40127529,54.639542799999994,54.91421907,3.5060000419999997,3.4719998839999997,3.414000034,3.3570001130000002,3.3800001139999996,4.006000042,3.960999966,3.8840000630000002,3.84100008,3.871999979,3.062999964,3.039999962,2.996000051,2.926000118,2.9440000060000004,30928653814.0,32643697596.0,35009262788.0,38694156863.0,39007354359.0,10091929.0,10392255.0,10703273.0,11023646.0,11345979.0,4.252,4.513,4.695000172,4.975,5.044
