Country Name,2015 Total Pop,2016 Total Pop,2017 Total Pop,2018 Total Pop,2019 Total Pop,2015 Adults (%),2016 Adults (%),2017 Adults (%),2018 Adults (%),2019 Adults (%),2015 Total Unemployment,2016 Total Unemployment,2017 Total Unemployment,2018 Total Unemployment,2019 Total Unemployment,2015 Female Unemployment,2016 Female Unemployment,2017 Female Unemployment,2018 Female Unemployment,2019 Female Unemployment,2015 Male Unemployment,2016 Male Unemployment,2017 Male Unemployment,2018 Male Unemployment,2019 Male Unemployment,2015 Access to Electricity,2016 Access to Electricity,2017 Access to Electricity,2018 Access to Electricity,2015 Mortality (<5),2016 Mortality (<5),2017 Mortality (<5),2018 Mortality (<5),2019 Mortality (<5),2015 Female Life Expectancy,2016 Female Life Expectancy,2017 Female Life Expectancy, 2018 Female Life Expectancy,2015 Male Life Expectancy,2016 Male Life Expectancy,2017 Male Life Expectancy, 2018 Male Life Expectancy,2015 Military Expenditure (%GDP),2016 Military Expenditure (%GDP),2017 Military Expenditure (%GDP), 2018 Military Expenditure (%GDP),2019 Military Expenditure (%GDP),2015 Total GDP,2016 Total GDP,2017 Total GDP,2018 Total GDP,2019 Total GDP,2015 Total Labor Force,2016 Total Labor Force,2017 Total Labor Force,2018 Total Labor Force,2019 Total Labor Force,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
Afghanistan,34413603.0,35383128.0,36296400.0,37172386.0,38041754.0,52.644298825670795,53.2079642015981,53.7632225246819,54.3248975483403,54.9119343971364,11.387000083923304,11.312999725341802,11.184000015258801,11.057000160217301,11.1180000305176,14.427000045776401,14.3140001296997,14.0900001525879,13.9060001373291,14.003999710083,10.684000015258801,10.571000099182099,10.4160003662109,10.2869997024536,10.331000328063999,71.5,97.7,97.7,98.71320343,70.4,67.6,64.9,62.5,60.3,64.877,65.275,65.656,66.02600000000001,61.965,62.343,62.701,63.047,3.833142187,3.680251052,3.65259209,3.724855275,4.16099487,19907111419.0,18017749074.0,18869945678.0,18353881130.0,19291104008.0,9176450.0,9566712.0,9947922.0,10334090.0,10699797.0,3.575,3.36,3.79399991,3.6319999999999997,3.2030000000000003
Albania,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,68.7047247322534,68.66009247383799,68.6426142157412,68.5823903647225,68.3978052821376,17.0799999237061,15.220000267028801,13.75,12.3400001525879,12.331000328064,17.097999572753903,14.572999954223599,12.562999725341802,11.229000091552699,11.604000091552699,17.068000793457,15.6780004501343,14.5900001525879,13.126999855041499,12.8459997177124,100.0,100.0,100.0,100.0,9.6,9.4,9.4,9.5,9.7,80.107,80.134,80.148,80.167,76.066,76.35300000000002,76.601,76.816,3.826274162,3.78723434,3.8051811,3.991300876,4.289390567,11386846319.0,11861200797.0,13019693451.0,15147020535.0,15279183290.0,1289562.0,1302836.0,1316869.0,1318022.0,1313923.0,4.959,4.655,4.644000053,4.586,4.718999999999999
Argentina,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989,64.1613658498285,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,9.788999557495119,8.85099983215332,9.11800003051758,9.46399974822998,10.5380001068115,10.921999931335401,6.96500015258789,7.150000095367429,7.52699995040894,8.22599983215332,8.9350004196167,99.82711792,99.9591217,100.0,100.0,11.5,10.9,10.3,9.8,9.3,79.434,79.583,79.726,79.863,72.61399999999998,72.768,72.92399999999998,73.082,2.055121809,1.948954748,2.061587616,1.900613417,1.865128104,594749000000.0,557531000000.0,643629000000.0,517627000000.0,445445000000.0,19360544.0,19696452.0,20035267.0,20551682.0,20772672.0,6.574,6.65,6.598999977,6.388,6.086
Armenia,2925553.0,2936146.0,2944809.0,2951776.0,2957731.0,69.0425707549991,68.76105829995339,68.4489663273217,68.11276041799,67.7503802746092,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917,16.9899997711182,19.252000808715803,17.4839992523193,17.4710006713867,17.1989994049072,17.2950000762939,17.3859996795654,17.7310009002686,17.9060001373291,17.7509994506836,16.7290000915527,100.0,100.0,100.0,100.0,14.4,13.7,13.0,12.4,11.8,77.708,77.949,78.165,78.354,70.921,71.02199999999998,71.115,71.215,16.09987433,15.12266232,14.79147635,20.85990446,19.76987499,10553337673.0,10546135160.0,11527458566.0,12457941907.0,13672802158.0,1334775.0,1310061.0,1303653.0,1303093.0,1303565.0,4.35,4.36,4.375999928,4.321000000000001,4.559
Australia,23815995.0,24190907.0,24601860.0,24982688.0,25364307.0,66.2580494091257,65.9065730162399,65.5309417025767,65.1529077338752,64.8033515429272,6.05399990081787,5.71000003814697,5.59100008010864,5.2979998588562,5.26800012588501,6.07299995422363,5.77899980545044,5.6680002212524405,5.31799983978271,5.32800006866455,6.03900003433228,5.65100002288818,5.525000095367429,5.2810001373291,5.21500015258789,100.0,100.0,100.0,100.0,3.9,3.8,3.7,3.7,3.6,84.5,84.6,84.6,84.9,80.4,80.4,80.5,80.7,5.222437611,5.577905241,5.441281916,5.163764573,5.116305253999999,1351690000000.0,1208850000000.0,1329190000000.0,1432880000000.0,1396570000000.0,12585539.0,12742247.0,12989073.0,13254463.0,13414956.0,7.284,7.313,7.28399992,7.272,7.228
Austria,8642699.0,8736668.0,8797566.0,8840521.0,8877067.0,67.0395429709195,66.9201962982639,66.812507305921,66.7004859083869,66.5625360827828,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,4.673999786376951,5.30800008773804,5.5430002212524405,5.0310001373291,4.65000009536743,4.54699993133545,6.08500003814697,6.42600011825562,5.90799999237061,5.019999980926509,4.78399991989136,100.0,100.0,100.0,100.0,3.7,3.6,3.6,3.5,3.5,83.7,84.1,84.0,84.1,78.8,79.3,79.4,79.4,1.368125644,1.458757239,1.5437386169999998,1.53307127,1.51366063,381818000000.0,395569000000.0,417238000000.0,455095000000.0,445075000000.0,4460833.0,4537043.0,4566743.0,4601213.0,4613292.0,7.2,7.119,7.006000042,7.138999999999999,7.246
Azerbaijan,9649341.0,9757812.0,9854033.0,9939771.0,10023318.0,71.3895878982556,71.02714110855919,70.7226479179956,70.43524738889859,70.11169103273001,4.96000003814697,5.0,5.0,4.90000009536743,5.5089998245239284,5.86700010299683,5.90799999237061,5.92700004577637,5.76599979400635,6.33500003814697,4.0879998207092285,4.13500022888184,4.11899995803833,4.0760002136230495,4.723999977111821,100.0,100.0,100.0,100.0,26.3,24.6,23.0,21.6,20.4,74.956,75.08800000000002,75.215,75.336,69.543,69.858,70.128,70.345,14.12855377,10.42615896,10.55362493,10.74785436,11.32174413,53074370486.0,37867518957.0,40865558912.0,47112941176.0,48047647059.0,4875807.0,4969726.0,5033862.0,5091052.0,5103137.0,5.212000000000001,5.291,5.234000206,5.2010000000000005,5.207999999999999
Burundi,10160030.0,10487998.0,10827024.0,11175378.0,11530580.0,52.3834673716515,52.3029616242189,52.2577451836004,52.2513787905443,52.28725701569221,1.55200004577637,1.52799999713898,1.48699998855591,1.44799995422363,1.42700004577637,1.12600004673004,1.12300002574921,1.07299995422363,1.03299999237061,1.00899994373322,2.01500010490417,1.9670000076293896,1.93400001525879,1.89600002765656,1.8780000209808303,8.631607056,9.637499809,9.3,11.02425194,67.2,64.1,61.3,58.8,56.5,61.893,62.301,62.675,63.03100000000001,58.325,58.726000000000006,59.092,59.435,8.101861409,9.996469158,8.579980099,8.430620872999999,7.776223156,3104394858.0,2959640987.0,3172292379.0,3036931818.0,3012334882.0,4350268.0,4503184.0,4660778.0,4822373.0,4983237.0,2.905,2.905,2.904999971,2.905,3.775
Belgium,11274196.0,11331422.0,11375158.0,11427054.0,11484055.0,64.85353394862129,64.6114376604001,64.3794416479243,64.1558335012748,63.93523089039501,8.48200035095215,7.82999992370605,7.08599996566772,5.94799995422363,5.58900022506714,7.76800012588501,7.55999994277954,7.05399990081787,5.5619997978210405,5.13600015640259,9.092000007629393,8.05900001525879,7.1139998435974094,6.28000020980835,5.977000236511231,100.0,100.0,100.0,100.0,3.9,3.8,3.7,3.5,3.4,83.4,84.0,83.9,83.9,78.7,79.0,79.2,79.4,1.715341189,1.707013038,1.717443054,1.737888599,1.791722185,462150000000.0,475740000000.0,502698000000.0,543734000000.0,533097000000.0,5000910.0,5005505.0,5037405.0,5089752.0,5101824.0,6.937,6.928999999999999,6.890999794,6.9270000000000005,6.922999999999999
Benin,10575952.0,10872067.0,11175204.0,11485048.0,11801151.0,53.73519093127499,53.8983079844184,54.0874712018525,54.2987123079372,54.5295963080211,2.58200001716614,2.53699994087219,2.4590001106262203,2.3859999179840097,2.23200011253357,2.77600002288818,2.74799990653992,2.66400003433228,2.56699991226196,2.33599996566772,2.3949999809265097,2.33299994468689,2.2609999179840097,2.21099996566772,2.13199996948242,37.70040131,38.97025299,34.5,41.52923965,99.6,97.4,95.1,92.8,90.3,62.082,62.379,62.687,63.003,59.1,59.361,59.633,59.914,4.3987447,4.366126549,5.176355784,3.822931949,2.859603506,11388160958.0,11821066153.0,12701656931.0,14250985959.0,14390709095.0,4264772.0,4397957.0,4535767.0,4678297.0,4833491.0,3.34,3.484,3.657000065,4.141,4.883
