Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Cote d'Ivoire,CIV,13.78098,15.7917,13.17057,13.27872,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Croatia,HRV,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Cuba,CUB,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Curacao,CUW,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Cyprus,CYP,32.18788,31.88086,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Czech Republic,CZE,14.94718,13.8679,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Denmark,DNK,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Djibouti,DJI,..,37.32327,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Dominica,DMA,14.64306,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Dominican Republic,DOM,14.92318,15.80752,14.61223,16.18636,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Ecuador,ECU,9.43166,9.51098,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Egypt, Arab Rep.",EGY,..,..,9.84518,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,El Salvador,SLV,13.55766,16.15496,16.03698,16.10453,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Equatorial Guinea,GNQ,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Eritrea,ERI,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Estonia,EST,19.99539,20.29085,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Eswatini,SWZ,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Ethiopia,ETH,7.87686,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Faroe Islands,FRO,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Fiji,FJI,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Finland,FIN,21.99535,21.50883,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,France,FRA,17.53958,17.3647,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,French Polynesia,PYF,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Gabon,GAB,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Gambia, The",GMB,8.47324,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Georgia,GEO,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Germany,DEU,17.50845,17.44257,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Ghana,GHA,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Gibraltar,GIB,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Greece,GRC,20.20131,20.26908,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Greenland,GRL,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Grenada,GRD,..,..,8.17698,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Guam,GUM,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Guatemala,GTM,10.06501,11.08353,11.36856,11.88315,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Guinea,GIN,..,6.81269,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Guinea-Bissau,GNB,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Guyana,GUY,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Haiti,HTI,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Honduras,HND,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Hong Kong SAR, China",HKG,14.85107,15.024,14.94539,14.82783,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Hungary,HUN,18.67208,19.06479,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Iceland,ISL,22.79978,22.10298,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,India,IND,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Indonesia,IDN,13.28127,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Iran, Islamic Rep.",IRN,7.55314,9.52057,11.11757,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Iraq,IRQ,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Ireland,IRL,11.83086,11.84396,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Isle of Man,IMN,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Israel,ISR,21.34266,21.53058,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Italy,ITA,21.73441,19.52238,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Jamaica,JAM,22.17824,21.77293,23.44592,21.68464,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Japan,JPN,..,21.78104,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Jordan,JOR,..,14.87272,13.53875,13.30793,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kazakhstan,KAZ,..,..,0.26455,0.23507,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kenya,KEN,10.95105,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kiribati,KIR,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Korea, Rep.",KOR,..,27.84732,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kosovo,XKX,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kuwait,KWT,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Lao PDR,LAO,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Latvia,LVA,26.76693,24.50426,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Lebanon,LBN,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Lesotho,LSO,..,..,..,20.7122,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Liberia,LBR,3.94327,14.49935,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Libya,LBY,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Liechtenstein,LIE,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Lithuania,LTU,18.59952,19.49595,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Luxembourg,LUX,19.6895,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Macao SAR, China",MAC,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Madagascar,MDG,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Malawi,MWI,9.55053,8.15872,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Malaysia,MYS,16.07894,16.12796,16.13708,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Maldives,MDV,18.69794,16.07814,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mali,MLI,13.43451,9.34227,12.3362,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Malta,MLT,22.83451,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Marshall Islands,MHL,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mauritania,MRT,9.59914,10.18348,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mauritius,MUS,12.51795,14.08182,15.73389,15.56837,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mexico,MEX,14.4207,13.78185,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Moldova,MDA,34.82502,32.54519,32.53601,32.53494,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Monaco,MCO,..,3.31307,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mongolia,MNG,13.1827,16.58952,14.10634,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Montenegro,MNE,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Morocco,MAR,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Mozambique,MOZ,..,..,..,..,..
"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,Myanmar,MMR,..,..,7.66681,7.81464,..
