"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","39.7322998046875","","","","","","","","","","44.314281463623","","","","","","","","","","53.8960914611816","","","","","","49.8323287963867","","","","62.4830589294434","61.5428695678711","64.2137680053711","64.3650894165039","68.0553588867188","75.6188507080078","75.7023620605469","76.6692581176758","77.4414901733398","",
"Bulgaria","BGR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7366027832031","","","","","","","","","","98.7472305297852","","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","76.5183715820313","","","","","","","","","","88.5373687744141","","","","","","","","","","88.5541076660156","","","","","","","","","92.1454391479492","","","","","","98.5519180297852","98.7673263549805","98.7631683349609","","",
"Bahamas, The","BHS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.305419921875","","","","","","","","","99.0337066650391","","","","","","","","","","","99.5413284301758","","99.1762771606445","","","","","","","",
"Belarus","BLR","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3841781616211","","","","","","","","","","99.792106628418","","","","","","","","","","99.7636871337891","","","","","","","","","99.7939834594727","","",
"Belize","BLZ","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.2687683105469","","","","","","","","","76.6837310791016","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","75.842887878418","","","","","","","","","","","","","","","","88.1555862426758","","","","","","","","","93.0574722290039","","","","","","96.036262512207","94.9554290771484","95.8036422729492","","96.6010513305664","97.107048034668","","","96.5227508544922","","","","","",
"Brazil","BRA","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","76.3773574829102","","","","","","","","","","","","","","","","","","","","86.2279815673828","","","","88.4094619750977","","89.3532409667969","89.7721405029297","89.8378677368164","90.1748428344727","90.0561828613281","91.1689834594727","91.0256729125977","91.1779632568359","91.3667678833008","91.7251586914063","92.5751571655273","92.8915328979492","93.0090408325195","","",
