Country Name,2016 Happiness Score
Denmark,7.526
Switzerland,7.5089999999999995
Iceland,7.501
Norway,7.497999999999999
Finland,7.412999999999999
Canada,7.404
Netherlands,7.3389999999999995
New Zealand,7.334
Australia,7.313
Sweden,7.291
Israel,7.267
Austria,7.119
United States,7.104
Costa Rica,7.087000000000001
Puerto Rico,7.039
Germany,6.994
Brazil,6.952000000000001
Belgium,6.928999999999999
Ireland,6.907
Luxembourg,6.871
Mexico,6.778
Singapore,6.739
United Kingdom,6.725
Chile,6.705
Panama,6.7010000000000005
Argentina,6.65
Czech Republic,6.596
United Arab Emirates,6.5729999999999995
Uruguay,6.545
Malta,6.4879999999999995
Colombia,6.481
France,6.478
Thailand,6.474
Saudi Arabia,6.379
Taiwan,6.379
Qatar,6.375
Spain,6.361000000000001
Algeria,6.355
Guatemala,6.324
Suriname,6.269
Kuwait,6.239
Bahrain,6.218
Trinidad and Tobago,6.167999999999999
Venezuela,6.084
Slovakia,6.077999999999999
El Salvador,6.068
Malaysia,6.005
Nicaragua,5.992000000000001
Uzbekistan,5.987
Italy,5.977
Ecuador,5.976
Belize,5.956
Japan,5.921
Kazakhstan,5.919
Moldova,5.897
Russia,5.856
Poland,5.835
South Korea,5.835
Bolivia,5.822
Lithuania,5.813
Belarus,5.8020000000000005
North Cyprus,5.771
Slovenia,5.768
Peru,5.742999999999999
Turkmenistan,5.6579999999999995
Mauritius,5.648
Libya,5.615
Latvia,5.56
Cyprus,5.546
Paraguay,5.537999999999999
Romania,5.528
Estonia,5.517
Jamaica,5.51
Croatia,5.4879999999999995
Hong Kong,5.457999999999999
Somalia,5.44
Kosovo,5.401
Turkey,5.388999999999999
Indonesia,5.314
Jordan,5.303
Azerbaijan,5.291
Philippines,5.279
China,5.245
Bhutan,5.196000000000001
Kyrgyzstan,5.185
Serbia,5.1770000000000005
Bosnia and Herzegovina,5.162999999999999
Montenegro,5.1610000000000005
Dominican Republic,5.155
Morocco,5.151
Hungary,5.145
Pakistan,5.132000000000001
Lebanon,5.129
Portugal,5.122999999999999
Macedonia,5.121
Vietnam,5.061
Somaliland Region,5.0569999999999995
Tunisia,5.045
Greece,5.033
Tajikistan,4.996
Mongolia,4.907
Laos,4.876
Nigeria,4.875
Honduras,4.871
Iran,4.813
Zambia,4.795
Nepal,4.793
Palestinian Territories,4.754
Albania,4.655
Bangladesh,4.643
Sierra Leone,4.635
Iraq,4.575
Namibia,4.574
Cameroon,4.513
Ethiopia,4.508
South Africa,4.459
Sri Lanka,4.415
India,4.404
Myanmar,4.395
Egypt,4.362
Armenia,4.36
Kenya,4.356
Ukraine,4.324
Ghana,4.276
Congo (Kinshasa),4.272
Georgia,4.252
Congo (Brazzaville),4.236000000000001
Senegal,4.218999999999999
Bulgaria,4.217
Mauritania,4.2010000000000005
Zimbabwe,4.1930000000000005
Malawi,4.156000000000001
Sudan,4.138999999999999
Gabon,4.121
Mali,4.073
Haiti,4.0280000000000005
Botswana,3.9739999999999998
Comoros,3.9560000000000004
Ivory Coast,3.9160000000000004
Cambodia,3.907
Angola,3.866
Niger,3.8560000000000003
South Sudan,3.832
Chad,3.763
Burkina Faso,3.739
Uganda,3.739
Yemen,3.7239999999999998
Madagascar,3.695
Tanzania,3.6660000000000004
Liberia,3.622
Guinea,3.6069999999999998
Rwanda,3.515
Benin,3.484
Afghanistan,3.36
Togo,3.303
Syria,3.069
Burundi,2.905
